contrast	pos	-0.481	-0.481
contrast	neg	-0.759	-0.759
brightness	pos	-0.401	-0.401
brightness	neg	-0.318	-0.318
saturation	pos	-0.149	-0.149
saturation	neg	-0.155	-0.155
shadows	pos	-0.292	-0.292
shadows	neg	-0.241	-0.241
highlights	pos	-0.195	-0.195
highlights	neg	-0.018	-0.018
exposure	pos	-0.622	-0.622
exposure	neg	-0.610	-0.610
vibrance	pos	-0.033	-0.033
vibrance	neg	-0.052	-0.052
temperature	pos	-0.241	-0.241
temperature	neg	-0.536	-0.536
tint	pos	-0.399	-0.399
tint	neg	-0.420	-0.420
jpeg_compression	pos	-0.642	-0.642
defocus_blur	pos	-0.551	-0.551
motion_blur	pos	-0.438	-0.438
pixelate	pos	-0.499	-0.499
gaussian_noise	pos	-0.383	-0.383
impulse_noise	pos	-0.287	-0.287
rotate	pos	-0.086	-0.086
rotate	neg	-0.075	-0.075
hcrop	pos	-0.122	-0.122
hcrop	neg	-0.116	-0.116
vcrop	pos	-0.135	-0.135
vcrop	neg	-0.058	-0.058
leftcornerscrop	pos	-0.175	-0.175
leftcornerscrop	neg	-0.103	-0.103
rightcornerscrop	pos	-0.188	-0.188
rightcornerscrop	neg	-0.112	-0.112
ratio	pos	-0.180	-0.180
ratio	neg	-0.174	-0.174
